"recipient_name","recipient_city_code","recipient_city_name","recipient_county_code","recipient_county_name","recipient_zip","recipient_state_code","recipient_country_code","recipient_type","receip_addr1","receip_addr2","receip_addr3","duns_no"
"ninth district opportunity","31908","gainesville","139","hall","30503","ga","usa","12: other nonprofit","po box l","","","070322342"
"mobile community action","62496","prichard","097","mobile","36610","al","usa","12: other nonprofit","204 e main st","","","049124688"
"biomedical research institute of new mexico","02000","albuquerque","001","bernalillo","87108","nm","usa","12: other nonprofit","1501 san pedro dr se num 14","","","807430764"
"family & childrens service","75000","tulsa","143","tulsa","74120","ok","usa","12: other nonprofit","650 s peoria","","","072420359"
"autism society of colorado","43000","lakewood","059","jefferson","80226","co","usa","12: other nonprofit","550 s wadsworth blvd","","","165361416"
"one e palo alto neighborhood improvement i","","e palo alto","081","san mateo","94303","ca","usa","12: other nonprofit","1798 b bay rd","","","157086559"
"teratology society","66672","reston","059","fairfax","20190","va","usa","12: other nonprofit","1821 michael faraday dr","0","","013106237"
"youth network council of chicago","14000","chicago","031","cook","60601","il","usa","12: other nonprofit","200 n michigan ste 400","","","098987225"
"planned parenthood of minnesota","58000","saint paul","123","ramsey","55116","mn","usa","12: other nonprofit","1965 ford parkway","","","040965196"
"georgia martial arts foundation","00408","acworth","067","cobb","30102","ga","usa","12: other nonprofit","5505 bells ferry rd b200 5210","","","052891111"
"suffolk coalition to prevent alc& drug depen","32732","hauppauge","103","suffolk","11788","ny","usa","12: other nonprofit","900 wheeler rd","","","782332449"
"association of american medical colleges","50000","washington","001","district of columbia","20037","dc","usa","12: other nonprofit","2450 n st nw","","","069287779"
"pacific island health officer association","17000","honolulu","003","honolulu","96822","hi","usa","12: other nonprofit","1890 e-w rd moore 429","","","603894143"
"n carolina","22920","fayetteville","051","cumberland","28312","nc","usa","12: other nonprofit","2125 sapona rd","","","782357693"
"another choice another chance","64000","sacramento","067","sacramento","95820","ca","usa","12: other nonprofit","5450 power inn rd","","","943742494"
"pan american health organization","50000","washington","001","district of columbia","20037","dc","usa","12: other nonprofit","525 23rd st nw","","","066769738"
"az community action assoc","55000","phoenix","013","maricopa","85004","az","usa","12: other nonprofit","2627 n 3rd st ste two","","","183100189"
"jefferson county committee for economic oppor","07000","birmingham","073","jefferson","35204","al","usa","12: other nonprofit","300 eighth ave w","","","078957667"
"el pueblo health services","06970","bernalillo","043","sandoval","87004","nm","usa","12: other nonprofit","121 calle del president","","","182614313"
"american medical student association foundati","66672","reston","059","fairfax","20191","va","usa","12: other nonprofit","1902 association dr","","","808654011"
"monte vista cmty ctr monte vista head start","51635","monte vista","105","rio grande","81144","co","usa","12: other nonprofit","2863 sherman avenue","","","149113011"
"pearl river valley opportunity","15340","columbia","091","marion","39429","ms","usa","12: other nonprofit","po box 188","","","082009135"
"johnston-lee community action","62520","smithfield","101","johnston","27577","nc","usa","12: other nonprofit","post office drawer 711","","","153233663"
"haight ashbury free clinics","67000","san francisco","075","san francisco","94129","ca","usa","12: other nonprofit","po box 29917","","","060142130"
"kittitas valley community hospital","21240","ellensburg","037","kittitas","98926","wa","usa","12: other nonprofit","603 s chestnut","","","039756692"
"catholic charities community services of oran","50034","newburgh","071","orange","12550","ny","usa","12: other nonprofit","46 roe st","","","782839398"
"united community action program","57650","pawnee","117","pawnee","74058","ok","usa","12: other nonprofit","501 6th st","","","072427800"
"new york city health & hospitals","51000","new york","061","new york","10038","ny","usa","12: other nonprofit","160 water st room 1040","","","147377139"
"illinois primary health care association","72000","springfield","167","sangamon","62704","il","usa","12: other nonprofit","225 s college st ste 200","","","188461735"
"friends of the family","04000","baltimore","510","baltimore","21202","md","usa","12: other nonprofit","1001 eastern ave 2nd floor","","","183170307"
"the enola group","44400","morganton","023","burke","28680","nc","usa","12: other nonprofit","post office box 250","","","849288642"
"milford district free public library","47420","milford","005","sussex","19963","de","usa","12: other nonprofit","11 se front st","","","159207984"
"charmtech","17610","cupertino","085","santa clara","95014","ca","usa","12: other nonprofit","21701 alcazar ave","","","807799924"
"team of advocates for special kids","02000","anaheim","059","orange","92805","ca","usa","12: other nonprofit","100 w cerritos ave","","","612020636"
"granite state independent living","14200","concord","013","merrimack","03301","nh","usa","12: other nonprofit","21 chenell dr","","","118084276"
"center for independence","38038","lakewood","053","pierce","98499","wa","usa","12: other nonprofit","10828 gravelly lake dr sw ste 112","","","067083878"
"michigan alliance- pti","46000","lansing","045","eaton","48910","mi","usa","12: other nonprofit","1325 s washington ave","","","829659007"
"utah parent center","67000","salt lake city","035","salt lake","84101","ut","usa","12: other nonprofit","230 w 200 s ste 1101","","","166346015"
"disability resource center","13330","charleston","015","berkeley","29407","sc","usa","12: other nonprofit","1840 carriage lane 54c","","","029667834"
"nas","0000","washington","001","district of columbia","20001","dc","","12: other nonprofit","keck center","500 fifth st nw","500 fifth st nw","0419640570"
"american trails","2950","redding","089","shasta","96049","ca","","12: other nonprofit","21750 rolling hills dr","palo cedro ca 96073-9665","palo cedro ca 96073-9665","8396980290"
"the pennsylvania innocence project","73136","spring garden","101","philadelphia","19122","pa","usa","12: other nonprofit","at temple university beasley schoo","1719 n broad st","","830917527"
"clean energy coalition","89140","ypsilanti","161","washtenaw","48198","mi","","12: other nonprofit","924 n main st ste 2","","","7873576850000"
"upper midwest community policing institute","71428","woodbury","163","washington","55125","mn","usa","12: other nonprofit","1951 woodlane dr","ste 200","","062492819"
"sw energy efficiency project","07850","boulder","013","boulder","80304","co","","12: other nonprofit","2334 broadway st num a","","","1509615760000"
"lebanese american university","51000","new york","360","new york","10115","ny","usa","12: other nonprofit","475 riverside dr ste 1846","","","103292082"
"democracy builders","51000","new york","061","new york","10030","ny","usa","12: other nonprofit","207 w 133rd st","","","828961610"
"usea","50000","washington","110","district of columbia","20004","dc","usa","12: other nonprofit","1300 pennsylvania ave nw ste 550","ste 615","","021874433"
"resources for children with special needs","51000","new york","061","new york","10003","ny","usa","12: other nonprofit","116 e 16th st fl 5","","","966936973"
"sealaska heritage institute","36400","juneau","110","juneau","99801","ak","usa","12: other nonprofit","1 sealaska plz ste 301","","","147655799"
"hawaii centers for independent living","16999","honolulu","003","honolulu","96817","hi","usa","12: other nonprofit","414 kuwili st num102","","","122768666"
"craig hospital","24785","englewood","005","arapahoe","80113","co","usa","12: other nonprofit","3425 s clarkson st","","","076453174"
"await & find project the","11964","castro valley","001","alameda","94546","ca","usa","12: other nonprofit","20885 redwood rd ste 308","","","799418900"
"prodigal son foundation","12000","charlotte","119","mecklenburg","28269","nc","usa","12: other nonprofit","7809 pope farm rd","","","015932463"
"united way of the national capital area","00000","vienna","059","fairfax","22182","va","usa","12: other nonprofit","8391 old courthouse rd ste 200","","","043990142"
"national association of charter school author","14000","chicago","031","cook","60603","il","usa","12: other nonprofit","105 w adams st ste 3500","","","029991606"
"monterey bay aquarium foundation","48872","monterey","053","monterey","93940","ca","usa","12: other nonprofit","886 cannery row","","","058663162"
"partners for democratic change","50000","washington","001","district of columbia","20036","dc","usa","12: other nonprofit","1779 massachusetts ave nw ste 515","","","801605841"
"bethlehem lutheran parish","43000","lakewood","059","jefferson","80214","co","usa","12: other nonprofit","2100 wadsworth blvd","","","100933902"
"henry & william evans home for children","86720","winchester","840","winchester","22601","va","usa","12: other nonprofit","330 e leicester st","","","123555336"
"christ the king school","57000","norfolk","710","norfolk","23509","va","usa","12: other nonprofit","3401 tidewater dr","","","078424849"
"hawaii agriculture research center","42200","kunia","003","honolulu","96759","hi","usa","12: other nonprofit","po box 100","","","066284332"
"american meteorological society","07000","boston","025","suffolk","02108","ma","usa","12: other nonprofit","45 beacon st","","","076618636"
"vcs","50100","new city","087","rockland","10956","ny","","12: other nonprofit","77 s main st","","","038253969"
"center for internet security","22106","e greenbush","083","rensselaer","59903","ny","usa","12: other nonprofit","po box 1743","","","197891240"
"alaska community services","03000","anchorage","020","anchorage","99503","ak","","12: other nonprofit","1057 w fireweed lane","num103","","115176828"
"habitat for humanity of minnesota","43000","minneapolis","053","hennepin","55418","mn","","12: other nonprofit","2401 lowry ave ne num210","","","144957821"
"generations incorporated","07000","boston","025","suffolk","02111","ma","","12: other nonprofit","25 kingston st 4th floor","","","003247587"
"american public transportation association","0000","washington","001","district of columbia","20006","dc","","12: other nonprofit","1666 k st nw","ste 1100","ste 1100","0810694030"
"council for agricultural science & technolo","01855","ames","169","story","50014","ia","usa","12: other nonprofit","4420 lincoln way","","","103944096"
"girl scouts of the united states of america","51000","new york","061","new york","10018","ny","usa","12: other nonprofit","420 5th avenue fl 13","","","006984447"
"eac","33139","hempstead","059","nassau","11550","ny","usa","12: other nonprofit","50 clinton st ste num608","","","107039323"
"hunkpanti investments","22340","fort thompson","017","buffalo","57339","sd","usa","12: other nonprofit","po box 175","","","831453142"
"youth for tomorrow","09848","bristow","153","prince william","20136","va","usa","12: other nonprofit","11835 hazel circle dr","","","188160618"
"cocoon house","22640","everett","061","snohomish","98203","wa","usa","12: other nonprofit","po box 3810","","","803301167"
"clay action coalition","45350","middleburg","019","clay","32068","fl","usa","12: other nonprofit","3292 cr 220","","","967655593"
"rainforest renewable light network","59000","portland","410","multnomah","97204","or","usa","12: other nonprofit","140 sw yamhill st","","","058909230"
"oregon health authority directors","64900","salem","047","marion","97301","or","usa","12: other nonprofit","500 summer st ne","","","878144021"
"benewah medical center","63910","plummer","009","benewah","83851","id","usa","12: other nonprofit","post office box 700","","","609913348"
"suburban area agency on aging","54885","oak park","031","cook","60301","il","usa","12: other nonprofit","1048 lake st ste 300","0","","164257438"
"houston area cmnty services","35000","houston","201","harris","77098","tx","usa","12: other nonprofit","3730 kirby dr ste 820","","","036642879"
"community action partnership","50000","washington","001","district of columbia","20036","dc","usa","12: other nonprofit","1140 conn ave nw ste 1210","0","","091334631"
"care alliance","16000","cleveland","035","cuyahoga","44114","oh","usa","12: other nonprofit","2219 payne avenue","","","807092416"
"anthony l jordan health corporation","63000","rochester","055","monroe","14603","ny","usa","12: other nonprofit","82 holland st","","","079692158"
"tibet fund the","51000","new york","360","new york","10016","ny","usa","12: other nonprofit","241 e 32nd st","","","926500968"
"boston hlth care for the homeless program in","07000","boston","025","suffolk","02118","ma","usa","12: other nonprofit","729 massachusetts avenue","","","786241695"
"boston mountain rural health center","44300","marshall","129","searcy","72650","ar","usa","12: other nonprofit","po box 1030","","","042237177"
"la rabida childrens hospital","14000","chicago","031","cook","60649","il","usa","12: other nonprofit","e 65th st at lake michigan","","","069992477"
"rural health services","14860","clearwater","003","aiken","29822","sc","usa","12: other nonprofit","po box 277","","","119194207"
"muskegon community health project","56320","muskegon","121","muskegon","49440","mi","usa","12: other nonprofit","565 w western avenue","","","029699274"
"bienestar human services","44000","los angeles","037","los angeles","90022","ca","usa","12: other nonprofit","5326 e beverly blvd","","","798547600"
"samaritan village","","briarwood","081","queens","11435","ny","usa","12: other nonprofit","138-02 queens blvd","","","072730179"
"the clinic","44000","los angeles","037","los angeles","90062","ca","usa","12: other nonprofit","3834 s western avenue","","","102982931"
"the family center","51000","new york","061","new york","10018","ny","usa","12: other nonprofit","315 w 36th st 4th fl","","","842052557"
"community action corporation of s texas","01852","alice","249","jim wells","78332","tx","usa","12: other nonprofit","204 e first st","","","021546288"
"united way of erie county","24000","erie","049","erie","16507","pa","usa","12: other nonprofit","420 w 6 st","","","072177678"
"edward m kennedy community health center in","82000","worcester","027","worcester","01605","ma","usa","12: other nonprofit","19 tacoma st","","","110714169"
"sylvania community action team","76022","sylvania","095","lucas","43560","oh","usa","12: other nonprofit","6850 monroe st","","","184832819"
"neern wisconsin area health education","48500","manitowoc","071","manitowoc","54220","wi","usa","12: other nonprofit","925 s 15th st","0","","161881383"
"high plains community health center","43110","lamar","099","prowers","81052","co","usa","12: other nonprofit","201 kendell dr","","","080546612"
"community health of central washington","80010","yakima","077","yakima","98902","wa","usa","12: other nonprofit","1806 w lincoln avenue","","","867982324"
"kinston community health center","35920","kinston","107","lenoir","28502","nc","usa","12: other nonprofit","po box 2278","","","879901254"
"novato youth center","52582","novato","041","marin","94947","ca","usa","12: other nonprofit","680 wilson avenue","","","118178391"
"central texas youth services bureau","07492","belton","027","bell","76513","tx","usa","12: other nonprofit","204 n e st","","","002721942"
"children & families first de","77580","wilmington","003","new castle","19802","de","usa","12: other nonprofit","2005 baynard blvd","","","071617195"
"imperial beach community clinic","36294","imperial beach","073","san diego","91932","ca","usa","12: other nonprofit","949 palm avenue","","","109278457"
"maine general medical center","02100","augusta","011","kennebec","04330","me","usa","12: other nonprofit","6 e chestnut st","","","077461754"
"clinicas del camino real","65042","ventura","111","ventura","93007","ca","usa","12: other nonprofit","po box 4669","","","038737201"
"pan-african association","14000","chicago","031","cook","60660","il","usa","12: other nonprofit","6163 n broadway","","","609597369"
"childcare network of evanston","24582","evanston","031","cook","60201","il","usa","12: other nonprofit","1416 lake st","","","859013336"
"coastal family health center","06220","biloxi","047","harrison","39530","ms","usa","12: other nonprofit","1046 division st","","","098595887"
"community health service agency","30920","greenville","231","hunt","75403","tx","usa","12: other nonprofit","po box 1908","","","089462592"
"clay-battelle health service association","08092","blacksville","061","monongalia","26521","wv","usa","12: other nonprofit","po box 72","","","135939366"
"astdhpphe","50000","washington","001","district of columbia","20036","dc","usa","12: other nonprofit","1015 18th st nw","","","135894256"
"cambodian association of america","43000","long beach","037","los angeles","90806","ca","usa","12: other nonprofit","2501 atlantic ave","","","826251811"
"alaska council of school administrators","36400","juneau","110","juneau","99801","ak","usa","12: other nonprofit","326 fourth st ste 404","","","958065286"
"western interstate commission for higher educ","07850","boulder","013","boulder","80301","co","usa","12: other nonprofit","po box 9752","","","078339959"
"lanai community health center","","lanai city","009","maui","96763","hi","usa","12: other nonprofit","624-a houston st","","","787074470"
"catholic charitiesdiocese trenton","74000","trenton","021","mercer","08618","nj","usa","12: other nonprofit","383 w state st","","","069057644"
"western sierra medical clinic","19794","downieville","091","sierra","95936","ca","usa","12: other nonprofit","209 nevada st","","","092493675"
"change","85156","weirton","029","hancock","26062","wv","usa","12: other nonprofit","3136 w st","","","131200057"
"neighborhood healthsource","43000","minneapolis","053","hennepin","55412","mn","usa","12: other nonprofit","3300 fremont avenue n","","","053369765"
"coolidge youth coalition","15500","coolidge","021","pinal","85228","az","usa","12: other nonprofit","320 s main st","","","829636260"
"virginia association of area agencies on agin","67000","richmond","760","richmond","23219","va","usa","12: other nonprofit","24 e cary st ste 100","","","087086661"
"mgh family health center dba muskegon family","56320","muskegon","121","muskegon","49444","mi","usa","12: other nonprofit","2345 sgetty","","","039712711"
"homes for black children","22000","detroit","163","wayne","48226","mi","usa","12: other nonprofit","511 e larned","","","020835047"
"highland rivers community service board","21380","dalton","313","whitfield","30720","ga","usa","12: other nonprofit","1401 applewood dr","","","108538971"
"springfield urban league","72000","springfield","167","sangamon","62703","il","usa","12: other nonprofit","100 n 11th st","","","115811721"
"rubicon programs","60620","richmond","013","contra costa","94804","ca","usa","12: other nonprofit","2500 bissell avenue","","","033632589"
"matrix institute on addiction","44000","los angeles","037","los angeles","90025","ca","usa","12: other nonprofit","12304 santa monica blvd","","","798406914"
"washington community for self-help","63000","seattle","033","king","98144","wa","usa","12: other nonprofit","2100 24th ave s","","","963316963"
"western michigan university school of medicin","42160","kalamazoo","077","kalamazoo","49008","mi","usa","12: other nonprofit","1000 oakland dr","","","130095581"
"kansas childrens service league","79000","wichita","173","sedgwick","67201","ks","usa","12: other nonprofit","post office box 517","","","073315350"
"morton comprehensive health services","75000","tulsa","143","tulsa","74106","ok","usa","12: other nonprofit","1334 n lansing","","","072427776"
"aids community services of western new york","11000","buffalo","029","erie","14201","ny","usa","12: other nonprofit","206 s elmwood avenue","","","118321967"
"long beach school district","41680","long beach","047","harrison","39560","ms","usa","12: other nonprofit","19148 commission rd","","","046736062"
"pacific islands primary care association","17000","honolulu","003","honolulu","96813","hi","usa","12: other nonprofit","345 queen st ste 601","","","603193256"
"pikes peak family counseling & mental health","16000","colorado springs","041","el paso","80905","co","usa","12: other nonprofit","875 w moreno avenue","","","780171570"
"central mississippi civic improvement associa","36000","jackson","049","hinds","39213","ms","usa","12: other nonprofit","3502 w northside dr","","","010397024"
"beech acres parenting center","15000","cincinnati","061","hamilton","45230","oh","usa","12: other nonprofit","6881 beechmont ave","","","076776434"
"garner-hayfield community school district","29955","garner","081","hancock","50438","ia","usa","12: other nonprofit","605 lyon st","","","180902132"
"national conference of state legislatures","20000","denver","031","denver","80202","co","usa","12: other nonprofit","1560 broadway ste 700","","","060613346"
"n p i","83264","lancaster","420","lancaster","17603","pa","usa","12: other nonprofit","237 n prince st ste 203","","","012869744"
"alliance for african assistance","66000","san diego","073","san diego","92115","ca","usa","12: other nonprofit","5952 el cajon blvd","","","839605284"
"cathedral health services","51000","newark","013","essex","07105","nj","usa","12: other nonprofit","219 chestnut st","","","874354681"
"mainehealth","60545","portland","005","cumberland","04101","me","usa","12: other nonprofit","465 congress stret ste 600","","","858582372"
"first choice primary care","49000","macon","021","bibb","31201","ga","usa","12: other nonprofit","577 mulberry st","","","618033703"
"union county health foundation","18620","elk point","127","union","57025","sd","usa","12: other nonprofit","post office box 798","","","180874133"
"crow creek housing authority","","crow creek","017","buffalo","57339","sd","usa","12: other nonprofit","po box 19 central circle oo","","","609437066"
"cultivating community","60545","portland","005","cumberland","04104","me","usa","12: other nonprofit","p o box 3792","","","146272039"
"arizona childrens association","77000","tucson","019","pima","85713","az","usa","12: other nonprofit","2700 s 8th avenue","","","068426147"
"la clinica del valle","47000","medford","029","jackson","97501","or","usa","12: other nonprofit","3617 s pacific hwy","","","606669356"
"merced family health center","46898","merced","047","merced","95341","ca","usa","12: other nonprofit","727 w childs avenue","","","078793486"
"washington central friends of education","46000","montpelier","023","washington","05602","vt","usa","12: other nonprofit","po box 181","","","139891423"
"riggs community health center","40788","lafayette","157","tippecanoe","47904","in","usa","12: other nonprofit","1716 hartford st","","","168070282"
"childrens hospital central california","45022","madera","039","madera","93638","ca","usa","12: other nonprofit","9300 valley childrens pl","","","071882450"
"san diego state university research foundatio","66000","san diego","073","san diego","92182","ca","usa","12: other nonprofit","5250 campanile dr","","","073371346"
"northern cheyenne t","42250","lame deer","087","rosebud","59043","mt","usa","12: other nonprofit","ribal housing autho","","","621608272"
"northern community investment corp","62125","st johnsbury","005","caledonia","05819","vt","usa","12: other nonprofit","347 portland st","","","040241895"
"scott county telephone cooperative","30496","gate city","169","scott","24251","va","usa","12: other nonprofit","p o box 487","","","071525109"
"leech lake tv corporation","67792","walker","021","cass","56484","mn","usa","12: other nonprofit","po box 493","","","193329559"
"ky center for ag & rural dvlpmt","24274","elizabethtown","093","hardin","42701","ky","usa","12: other nonprofit","411 ring rd","","","124650610"
"rocky mt farmers  union","20000","denver","031","denver","80237","co","usa","12: other nonprofit","7900 e union ave ste 200","","","131055266"
"delaware valley industrial resource center","60000","philadelphia","101","philadelphia","19154","pa","usa","12: other nonprofit","2905 southampton rd","","","603075250"
"n carolina a & t state university","28000","greensboro","081","guilford","27411","nc","usa","12: other nonprofit","1601 e market st","","","071576482"
"n delta produce growers association","45240","marks","119","quitman","38646","ms","usa","12: other nonprofit","1300 killebrew rd","","","133379904"
"eastern shore barrier island center","48264","machipongo","131","northampton","23405","va","usa","12: other nonprofit","p o box 206","","","807016238"
"united tribes of kansas & s e nebras","77850","white cloud","043","doniphan","66094","ks","","12: other nonprofit","3301 thrasher rd","","","606608768"
"sw housing solutions corporation","22000","detroit","163","wayne","48216","mi","","12: other nonprofit","1920 25th st","","","844806708"
"eaglevision ministries","46000","lansing","065","ingham","48906","mi","","12: other nonprofit","814 n washington ave","","","129585589"
"clean & healthy new york","01000","albany","001","albany","12207","ny","usa","12: other nonprofit","62 grand st","","","030540148"
"consolidated youth services","35710","jonesboro","031","craighead","72404","ar","usa","12: other nonprofit","4220 stadium blvd","","","070774625"
"maine coalition to end domestic violence","02100","augusta","011","kennebec","04330","me","usa","12: other nonprofit","104 sewall st","","","015984594"
"mississippi state coalition against domestic","25180","fondren","049","hinds","39296","ms","usa","12: other nonprofit","po box 4703","","","927529420"
"victim rights law center","07000","boston","025","suffolk","02110","ma","usa","12: other nonprofit","115 broad st","floor 3","","142290126"
"tampa baywatch","71825","tierra verde","103","pinellas","33715","fl","","12: other nonprofit","3000 pinellas bayway s","","","8672855610000"
"cornell cooperative extention","38264","jamestown","013","chautauqua","14701","ny","usa","12: other nonprofit","3542 cornell rd","0","","156500258"
"mississippi coalition against sexual assault","36000","jackson","049","hinds","39202","ms","usa","12: other nonprofit","510 george st","ste 400","","059668751"
"new mexico coalition of sexual assault progra","22615","eldorado","001","bernalillo","87111","nm","usa","12: other nonprofit","3939 juan tabo ne ste 6","","","182272351"
"alabama coalition against domestic violence","19564","dannelly field airpo","101","montgomery","36103","al","usa","12: other nonprofit","po box 4762","","","004344078"
"tri-county family justice center of ne","39940","las vegas","047","san miguel","87701","nm","usa","12: other nonprofit","po box 868","","","790481514"
"center for childrens law & policy","50000","washington","001","district of columbia","20006","dc","usa","12: other nonprofit","1701 k st nw","ste 1100","","023327472"
"hoyleton youth & family services","47423","mascoutah","163","st clair","62258","il","usa","12: other nonprofit","350 n main st","","","170587240"
"neours wildlife foundation","79450","yemassee","013","beaufort","29945","sc","","12: other nonprofit","161 nemours plantation rd","","","083216114"
"appalachian development corporation","30850","greenville","045","greenville","29615","sc","usa","12: other nonprofit","3531 pelham rd","0","","010497571"
"national sheriffs association","01000","alexandria","510","alexandria","22314","va","usa","12: other nonprofit","1450 duke st","","","020291605"
"missouri coalition against domestic & sexua","37000","jefferson city","051","cole","65101","mo","usa","12: other nonprofit","217 oscar dr ste a","","","868492646"
"kansas coalition against sexual & domestic","71000","topeka","177","shawnee","66603","ks","usa","12: other nonprofit","634 sw harrison st","","","179971957"
"american rivers","19000","durham","063","durham","20005","nc","","12: other nonprofit","1101 14th st nw ste 1400","","","0810571680000"
"greater idaho falls chamber of comm erce","39700","idaho falls","019","bonneville","83405","id","","12: other nonprofit","po box 50498","","","0398616200000"
"oklahoma coalition against domestic violence","36420","oklahoma city","109","oklahoma","73118","ok","usa","12: other nonprofit","3815 n santa fe ste 124","","","117653696"
"ducks unlimited","59444","rancho cordova mills","067","sacramento","95670","ca","","12: other nonprofit","3074 gold canal dr","","","0134626970000"
"arizona wildfire council","57380","prescott","025","yavapai","86305","az","","12: other nonprofit","1700 iron springs rd","","","1529591640000"
"first state resource conservation a d develop","21200","dover","001","kent","19904","de","","12: other nonprofit","1221 college prk dr ste 101","","","0844025490000"
"wetland trust the","11132","burdett","097","schuyler","14818","ny","","12: other nonprofit","4729 state rte 414","","","8314089480000"
"washington state native american coalition ag","36500","olympia","067","thurston","98508","wa","usa","12: other nonprofit","po bx 132360","","","144377434"
"volunteers for outdoor colorado","20000","denver","031","denver","80209","co","","12: other nonprofit","600 s marion pkwy","","","1493506960000"
"friends of ceeli institute","50000","washington","001","district of columbia","20005","dc","","12: other nonprofit","740 15th st nw fl","","","160566282"
"western governors association","20000","denver","031","denver","80202","co","","12: other nonprofit","1600 broadway ste 1700","","","0612065380000"
"national fish & wildlife foundati n","67000","san francisco","075","san francisco","20005","ca","","12: other nonprofit","1133 15th st nw fl 11","","","1751725270000"
"ecostudies institute","47560","mount vernon","057","skagit","98723","wa","","12: other nonprofit","po box 703","","","0553894690000"
"institute for war & peace reporting","50000","washington","001","district of columbia","20005","dc","","12: other nonprofit","1325 g st nw","","","148228971"
"the kid one transport system","07000","birmingham","073","jefferson","35222","al","usa","12: other nonprofit","3535 7th ct s","0","","007181204"
"cal ripken sr foundation","64875","ranchleigh","005","baltimore","21209","md","usa","12: other nonprofit","1427 clarkview rd ste 100","","","143694524"
"national council of young mens christian asso","33669","haymarket","031","cook","60606","il","usa","12: other nonprofit","101 n wacker dr","","","005912589"
"family league of baltimore city","81975","waverly","510","baltimore","21218","md","usa","12: other nonprofit","2305 n charles st","","","158059118"
"casa de esperanza","42020","midway","123","ramsey","55104","mn","usa","12: other nonprofit","1821 university ave ste s-155","","","606107209"
"connecticut sexual assault crisis services i","22700","e hartford","003","hartford","06108","ct","usa","12: other nonprofit","96 pitkin st","","","946337011"
"colorado coalition against sexual assault","20000","denver","031","denver","80203","co","usa","12: other nonprofit","1120 lincoln st","ste 700","","030680909"
"aquatic restoration & research in titute t","74830","talkeetna","170","matanuska-susitna","99676","ak","","12: other nonprofit","22290 s c st","","","1426036660000"
"girls of bay county","54700","panama city","005","bay","32401","fl","","12: other nonprofit","1100 fountain ave","","","1347380460000"
"king county coalition against domestic violen","04835","beacon hill","033","king","98144","wa","usa","12: other nonprofit","1419 s jacskon st num103","","","137205667"
"catholic legal immigration network cli","09100","cardinal","001","district of columbia","20017","dc","usa","12: other nonprofit","415 michigan avenue ne","ste 200","","149642428"
"playa lakes joint venture","41835","lafayette","013","boulder","80026","co","","12: other nonprofit","2575 park lane ste 110","","","1375364180000"
"health sciences division","51000","new york","360","new york","10032","ny","usa","12: other nonprofit","630 w 168th st fl 4","","","621889815"
"marcum & wallace memorial hospital","39646","irvine","065","estill","40336","ky","usa","12: other nonprofit","60 mercy ct","","","079661658"
"irex","50000","washington","110","district of columbia","20037","dc","usa","12: other nonprofit","2121 k st nw ste 700","","","797045846"
"mount rogers planning district commission","49464","marion","173","smyth","24354","va","usa","12: other nonprofit","1021 terrace dr","0","","098448046"
"region 2 planning & development council","39460","huntington","011","cabell","25701","wv","usa","12: other nonprofit","720 4th ave","0","","627190002"
"cumberland valley area development district","47476","london","125","laurel","40744","ky","usa","12: other nonprofit","342 old whitley rd","0","","070815790"
"n central pennsylvania regional planning","64784","ridgway","047","elk","15853","pa","usa","12: other nonprofit","651 montmorenci rd","0","","030227821"
"family services","50875","n charleston","019","charleston","29406","sc","usa","12: other nonprofit","4925 lacross rd ste 215","","","163011075"
"san jose state university research foundation","68000","san jose","085","santa clara","95112","ca","usa","12: other nonprofit","210 n fourth st","4th floor","","056820715"
"austin stephen f state univer","50256","nacogdoches","347","nacogdoches","75965","tx","usa","12: other nonprofit","1936 n st","","","073894727"
"johnstown area regional indust","38288","johnstown","021","cambria","15901","pa","usa","12: other nonprofit","245 market st ste 200","","","149608846"
"new york botanical garden the","08510","bronx","005","bronx","10458","ny","usa","12: other nonprofit","200th st & kazimiroff blvd","","","073250946"
"concerns of police survivors","10810","camdenton","029","camden","65020","mo","usa","12: other nonprofit","3096 s state hwy 5","po box 3199","","621263409"
"techbridge","53000","oakland","001","alameda","94621","ca","usa","12: other nonprofit","7700 edgewater dr ste 519","","","029057310"
"seward association for the advancem ent of ma","68560","seward","122","kenai peninsula","99664","ak","","12: other nonprofit","po box 1329","","","0155983780000"
"boys & girls club of harrisonburg & rocking","35624","harrisonburg","660","harrisonburg","22802","va","usa","12: other nonprofit","620 simms ave","","","176729630"
"parent information ctr of delaware","77580","wilmington","003","new castle","19808","de","usa","12: other nonprofit","5570 kirkwood hwy","","","605347376"
"s dakota parent connection","59020","sioux falls","099","minnehaha","57106","sd","usa","12: other nonprofit","3701 w 49th st ste 102","","","180875213"
"snake river fund","40120","jackson","039","teton","83002","wy","","12: other nonprofit","po box 7033","","","6098726550000"
"association of village council presidents in","06520","bethel","000","bethel census","99559","ak","usa","12: other nonprofit","101 main st","","","085809515"
"lukuru wildlife research foundation","47754","marion","101","marion","43301","oh","","12: other nonprofit","lukuru@gmailcom","po box 1635","","0372282560000"
"american psychological association","50000","washington","001","district of columbia","20002","dc","usa","12: other nonprofit","750 first st ne","","","086352101"
"american speech & hearing association","67675","rockville","031","montgomery","20852","md","usa","12: other nonprofit","10801 rockville pike","","","808905033"
"vocational instruction project community serv","08509","bronx","005","bronx","10457","ny","usa","12: other nonprofit","1910 arthur ave 4th floor","","","179172671"
